-6544,2747
-9765,580
-1699,1481
-5982,4385
6299,4222
-876,9059
2528,6895
635,605
8909,1132
5209,5588
7628,5911
-3825,9887
-2424,8895
5256,3422
3016,4202
8517,6440
2889,7697
8261,8556
6967,3157
7184,1257
-4536,4063
8384,1657
-9386,4757
8717,984
-6217,4729
-7148,610
-6341,3147
3939,234
2497,9135
9571,7560
-9323,2041
5538,7306
4874,2261
4125,955
2128,5971
-3418,8608
-9678,4015
5880,7423
5935,2447
1428,3755
3379,6421
9430,7546
-5326,5588
441,5223
-7488,6272
1764,1459
-8112,4638
6800,6199
-2041,4058
2358,2532
-6277,8632
8506,2923
-5107,2258
9134,7273
2464,8656
676,7002
1526,7477
-7915,159
1862,2694
-9753,7834
-1765,2421
7197,3813
9548,284
-1567,4386
-8781,9702
6407,893
-7987,3319
1278,9822
-9907,5867
-6984,4075
1405,5100
2387,7850
-5678,5501
-3293,1860
-2102,7683
-3234,9445
5829,2708
-764,1408
9341,4951
-1239,9856
-9852,3675
-6975,8601
-7367,3172
2087,1916
-4058,2975
-6359,457
9336,8775
-1421,7743
-5124,3200
-586,7103
8915,5505
-7819,1439
1297,3151
