-7123,1875
384,8922
-5074,5973
-1272,9879
4897,7575
-2163,5072
-5647,8255
-872,4418
129,4812
7680,2523
6398,6123
3056,3165
-35,6345
-2601,9596
7606,8003
-5268,65
6205,3577
9692,7009
4793,8785
-4750,856
-6174,9735
-3391,3663
2940,1474
-47,1132
-3958,5890
-3293,1065
-2863,8838
-893,1677
4555,4234
-2487,4006
-9819,5149
-6132,6712
853,6944
8516,1486
1787,1819
-7046,143
-1262,6074
-2322,2141
3763,8548
-6748,7015
-3801,3276
7277,47
-2777,7648
-8147,3701
-6734,5871
-2802,9409
3210,1480
8929,3408
8107,4013
8428,1910
-3959,3494
9812,9666
1605,8450
-1656,7615
4907,5400
2823,8790
-4021,8444
9104,3185
8819,7038
-7836,2939
-3995,2508
1754,499
3898,9127
2239,7839
4947,5427
4679,7788
-2601,1495
6389,8244
1358,9077
-9022,169
216,5028
654,4429
-3381,936
7552,2772
-3192,9139
-7717,2769
8313,9733
7328,9325
-7671,4111
6650,1911
-7297,982
9802,3557
