-3495,5
-2434,16
-6719,24
-2874,25
-1794,26
-2795,30
-3536,32
-8736,36
-3169,42
-1316,46
-6376,51
-6600,52
7753,61
-6618,62
163,63
-6778,74
6422,76
-9184,78
-1498,80
-9963,83
7008,86
8918,92
-9011,94
-4441,96
3639,107
-9570,109
-6299,110
7909,116
-9702,119
937,133
3721,136
2425,137
-5919,138
-4538,142
-6726,143
-230,144
1769,147
-4630,149
10349,152
-4608,155
7039,156
-4757,160
13781,161
-1292,162
-3396,169
-7010,170
4525,171
6230,181
-66,192
-9124,200
-6505,201
5904,203
952,205
2997,208
-3699,215
-6777,222
8937,225
46,234
7291,237
3377,239
2547,241
-2795,245
-2613,246
5560,248
-7267,253
2057,259
-3419,260
5194,264
-2879,269
-4454,271
-5383,275
-4990,276
-6806,291
-1837,298
3944,301
5375,304
1063,308
8290,309
5669,311
-367,315
6779,319
-6833,325
-4245,326
6126,327
-8376,332
9724,335
8397,338
8549,341
9482,344
-5288,350
4162,351
-6403,352
1942,368
-14029,370
2066,385
5887,393
3380,396
-1663,398
-9957,404
4390,411
-4151,421
-7395,424
-6934,431
9201,432
7386,436
-4412,440
495,443
-1133,445
-64,446
-1044,449
-8045,451
-4683,454
-2110,457
-4108,458
-2382,463
8250,465
-3080,466
11912,469
-3420,470
-6750,476
4972,484
-2712,486
2796,488
-903,492
6927,497
-4474,502
2647,505
2147,512
8642,518
-5615,526
-8464,533
6917,538
8443,539
4188,540
9676,542
-6968,549
-303,551
-5342,554
4553,555
2044,562
-953,566
-3871,568
-243,574
-7653,576
-4430,578
4399,579
2346,582
-7456,587
-1615,589
683,593
-6022,598
-5857,602
3033,603
-9594,609
9133,627
9095,634
-2372,639
2310,640
8525,645
-794,647
9617,648
14,649
5523,658
-6578,671
-8880,673
9958,675
7633,678
-5475,681
-7386,687
-5612,697
9447,701
-8907,703
-3434,704
4009,713
-266,718
4042,720
-8290,723
728,726
3415,735
4128,742
1185,763
4075,764
8524,766
8501,769
4526,770
3304,774
-1633,775
-1399,783
-147,790
1134,798
-446,800
-4258,802
3594,808
1808,819
8545,828
-1095,836
-8273,838
-4226,842
-4919,852
8216,854
7379,857
12245,868
12453,869
8131,878
331,881
6022,882
-719,886
2203,888
-9285,892
6560,898
-2403,910
-4364,915
-7879,924
932,937
6864,939
9362,942
3659,943
7299,971
4068,972
-8789,973
6951,977
-8227,978
-3034,982
9211,984
-9839,985
9375,986
200,990
-1925,991
1645,994
9630,995
